,date,top_5_titles
607,2021-07-09,"Johnson & Johnson, L’Oréal USA & More Named As Best Companies By Seramount - Beauty Packaging | Armenia To Buy American COVID-19 Vaccines - Ազատություն Ռադիոկայան | UNICEF to ship up to 220M doses of Johnson & Johnson vaccine to Africa - Anadolu Agency | English | COVID-19: Armenia to acquire Johnson & Johnson’s and Novavax vaccines in autumn - Armenpress | Johnson & Johnson's Stelara posts positive 3-year data in ulcerative colitis as competition heats up - FiercePharma"
608,2021-07-10,"Lawsuit: Johnson & Johnson’s “OGX” Shampoos Cause Hair Loss - Legal Reader | Johnson & Johnson, L’Oréal USA & More Named As Best Companies By Seramount - Beauty Packaging | Bayer kidney disease drug gets FDA nod, pitting it against AstraZeneca, J&J meds - MedCity News | Egypt to receive 2 M dozes of Pfizer COVID-19 vaccine in few days: Minister - Egypt Today"
609,2021-07-11,"FDA adds new warning on Johnson & Johnson vaccine related to rare autoimmune disorder - The Washington Post | FDA adds warning to J&J vaccine for possible link to rare neurological disorder - NBC News | One and Done: Why People Are Eager for Johnson & Johnson’s Vaccine (Published 2021) - The New York Times | Pfizer to discuss COVID-19 vaccine booster with U.S. officials - PBS NewsHour | J&J COVID vaccine may pose 'small possible risk' of rare neurological syndrome, CDC says - CBC.ca"
610,2021-07-12,Johnson & Johnson in discussion with FDA regarding COVID-19 vaccine side effects - The Fiji Times | FDA adds warning to J&J vaccine for possible link to rare neurological disorder - NBC News | Johnson & Johnson makes significant progress towards 100% renewable electricity goal with new wind and solar power purchase agreements - Johnson & Johnson | FDA adds new warning on Johnson & Johnson vaccine related to rare autoimmune disorder - The Washington Post | Johnson & Johnson Achieves 100% Renewable Electricity Across European Operations - Environment+Energy Leader
611,2021-07-13,"FDA warns of potential rare neurological complication with Johnson & Johnson coronavirus vaccine - CNN | Update: Suspect in liquor store shooting believed to have fled to Mexico - Paso Robles Daily News | Johnson & Johnson in discussion with FDA regarding COVID-19 vaccine side effects - The Fiji Times | Johnson & Johnson recalling Neutrogena, Aveeno sunscreens because of benzene traces - NBC News | Lawsuit Alleges Johnson & Johnson OGX Shampoo Products Cause Hair Loss - AboutLawsuits.com"
612,2021-07-14,Update: Suspect in liquor store shooting believed to have fled to Mexico - Paso Robles Daily News | Where Will Johnson & Johnson Stock Be In 5 Years? - Seeking Alpha | CVS stops selling two of its own sunscreen products after Johnson & Johnson recall - CBS News | Lawsuit Alleges Johnson & Johnson OGX Shampoo Products Cause Hair Loss - AboutLawsuits.com | Johnson & Johnson Recalls 5 Aerosol Sunscreens After Finding Carcinogen Traces - NPR
613,2021-07-15,"Johnson and Johnson recalls some Neutrogena and Aveeno sunscreens after it detects benzene in them - CNN | Johnson & Johnson recalls five Neutrogena, Aveeno sunscreen products containing traces of benzene - The Washington Post | Johnson & Johnson Recalls 5 Aerosol Sunscreens After Finding Carcinogen Traces - NPR | Johnson & Johnson Recalls Tons of Neutrogena Sunscreens Over Contamination Concerns - Prevention Magazine | Johnson & Johnson Issues Recall on Sunscreens - AARP"
614,2021-07-16,"How to Know if Your Aveeno or Neutrogena Sunscreen Was Recalled for Containing the Carcinogen Benzene - Green Matters | 6 Sunscreens to Buy Instead of Johnson & Johnson’s Neutrogena and Aveeno - Popdust | Johnson & Johnson recalls five Neutrogena, Aveeno sunscreen products containing traces of benzene - The Washington Post | FDA investigating how a known carcinogen wound up in J&J sunscreen - Reuters.com | J&J recalls 5 sunscreen sprays found to contain carcinogen benzene - Livescience.com"
615,2021-07-17,"Sunscreen recall: What the finding of a cancer-causing chemical means for you - CNN | Neutrogena spray-on sunscreens recalled after 'elevated' levels of benzene detected - CBC.ca | Bargains aplenty, COVID vaccine clinic found at flea market, but few get shots - San Antonio Express-News | Philippines receives 1.6-M doses of Johnson & Johnson vaccines - Philstar.com"
616,2021-07-18,"How Johnson & Johnson transformed its corporate business-technology operating model - McKinsey | ""1.5 million children are living with HIV in sub-Saharan Africa. I'm one of the doctors treating these young patients every day"" - Johnson & Johnson | Bargains aplenty, COVID vaccine clinic found at flea market, but few get shots - San Antonio Express-News | The United States Announces Donation of 453,600 Doses of the Johnson & Johnson COVID-19 Vaccine to Ethiopia - U.S. Embassy in Ethiopia | Nepal’s disabled get a shot at Covid - Nepali times"
617,2021-07-19,"""1.5 million children are living with HIV in sub-Saharan Africa. I'm one of the doctors treating these young patients every day"" - Johnson & Johnson | Johnson & Johnson takes to Twitter to expand its network of storytelling patients - FiercePharma | Nepal’s disabled get a shot at Covid - Nepali times | 2 Neutrogena spray-on sunscreens recalled due to elevated levels of benzene - The Northern View | The United States Announces Donation of 453,600 Doses of the Johnson & Johnson COVID-19 Vaccine to Ethiopia - U.S. Embassy in Ethiopia"
618,2021-07-20,"If you got the Johnson & Johnson vaccine, do you need another dose? - NBC News | Johnson & Johnson Taps Jones Day to Explore Talc Bankruptcy - The Wall Street Journal | Johnson & Johnson pencils in €2.1bn in Covid-19 vaccine sales - The Irish Times | 'Light at the end of the COVID-19 tunnel' as J&J's medtech companies rebound to $7B in Q2 sales - Fierce Biotech | Johnson & Johnson takes to Twitter to expand its network of storytelling patients - FiercePharma"
619,2021-07-21,"Johnson & Johnson Posts Higher Profit as Healthcare Demand Returns - The Wall Street Journal | 'Light at the end of the COVID-19 tunnel' as J&J's medtech companies rebound to $7B in Q2 sales - Fierce Biotech | Johnson & Johnson to pay $5bn in landmark $26bn US opioid settlement - The Guardian | Big 3 U.S. drug distributors, Johnson & Johnson reach landmark $26 billion opioid settlement - CNBC | Johnson & Johnson pencils in €2.1bn in Covid-19 vaccine sales - The Irish Times"
620,2021-07-22,"Pfizer, Johnson & Johnson Settle Antitrust Suit Over Remicade - Bloomberg Law | Woman says Johnson & Johnson OGX shampoo can cause hair loss - TODAY | Influence of frosted haptics on rotational stability of toric intraocular lenses - Nature.com | How bankruptcy could help Johnson & Johnson corral vast talc litigation | Company Business News - Mint | Lawsuit Claims Johnson & Johnson’s OGX Shampoos and Conditioners Lead to Hair Loss - Prevention Magazine"
621,2021-07-23,The delta variant is now dominant in Washington. How well is the J&J vaccine working against it? - The Seattle Times | Woman says Johnson & Johnson OGX shampoo can cause hair loss - TODAY | The United States Donates Over One Million Doses of Johnson & Johnson Vaccine to Tanzania - USEmbassy.gov | Influence of frosted haptics on rotational stability of toric intraocular lenses - Nature.com | How bankruptcy could help Johnson & Johnson corral vast talc litigation | Company Business News - Mint
622,2021-07-24,The delta variant is now dominant in Washington. How well is the J&J vaccine working against it? - The Seattle Times | The United States Donates Over One Million Doses of Johnson & Johnson Vaccine to Tanzania - USEmbassy.gov | Ghana aims to receive 18 million COVID shots by October - Reuters.com
623,2021-07-25,"Pfizer, Johnson & Johnson settle high-profile Remicade biosim lawsuit on undisclosed terms - FiercePharma"
624,2021-07-26,"Ben Crump files lawsuit against Johnson & Johnson on behalf of Black women - ABC News | Pfizer, Johnson & Johnson settle high-profile Remicade biosim lawsuit on undisclosed terms - FiercePharma | Purdue points to creditor support for bankruptcy plan to escape opioid litigation, but will Congress follow? - FiercePharma | Black women's organization sues Johnson & Johnson over talcum-based powder - CBS News | Johnson & Johnson to End Talc-Based Baby Powder Sales in North America (Published 2020) - The New York Times"
625,2021-07-27,"Zimbabwe approves J&J COVID-19 vaccine for emergency use - Reuters.com | Crump, National Council of Negro Women File Lawsuit Against J&J - Business Insider | The FDA Extends The Expiration Date On Johnson & Johnson's COVID Vaccine To 6 Months - NPR | Advocacy group sues Johnson & Johnson over products marketed to Black women, alleging cancer link - CNN | Women With Cancer Awarded Billions in Baby Powder Suit (Published 2020) - The New York Times"
626,2021-07-28,"J&J faces new lawsuit over marketing talc baby powder to Black women - Business Insider | Zimbabwe approves J&J COVID-19 vaccine for emergency use - Reuters.com | Johnson & Johnson Targeted Black Women With Products Linked To Cancer, Lawsuit Says - NPR | FDA OK's Emergent BioSolutions plant to resume manufacturing J&J's Covid-19 vaccine - CNN | The FDA Extends The Expiration Date On Johnson & Johnson's COVID Vaccine To 6 Months - NPR"
627,2021-07-29,"Johnson & Johnson Targeted Black Women With Products Linked To Cancer, Lawsuit Says - NPR | FDA OK's Emergent BioSolutions plant to resume manufacturing J&J's Covid-19 vaccine - CNN | Johnson & Johnson COVID-19 Vaccine Help Boost COVID-19 Vaccination Rollout in Champasak Province - UNICEF | US Says COVID-19 Vaccines “Don’t Come with Strings Attached” - VOA Cambodia News | One jab of J& J per person - PressReader"
628,2021-07-30,Covid-19: Johnson & Johnson Vaccine Pause Is Another Hurdle For Europe (Published 2021) - The New York Times | US Says COVID-19 Vaccines “Don’t Come with Strings Attached” - VOA Cambodia News | Black women’s group sues J &J over baby powder - The Citizen
629,2021-07-31,"Covid-19: Johnson & Johnson Vaccine Pause Is Another Hurdle For Europe (Published 2021) - The New York Times | Letters to the Editor for Aug. 1, 2021 - Bucks County Courier Times | Adiri hospital urges oxygen supplies as patients continue to stream in - The Libya Observer"
630,2021-08-01,"Johnson & Johnson Not Responsible For Death Of Illinois Woman In Talc Case - Lawyer Monthly Magazine | Adiri hospital urges oxygen supplies as patients continue to stream in - The Libya Observer | The power of prioritizing your vision - Johnson & Johnson | ​More US-made Johnson & Johnson Covid jabs arrive​ - The Phnom Penh Post | Kenya Approves J&J, Pfizer Covid-19 Vaccines as Cases Surge - Bloomberg"
631,2021-08-02,"Johnson & Johnson Not Responsible For Death Of Illinois Woman In Talc Case - Lawyer Monthly Magazine | ​More US-made Johnson & Johnson Covid jabs arrive​ - The Phnom Penh Post | Johnson & Johnson Gets Burned by Benzene - Happi | Second tranche of U.S.-donated vaccines Arrive in Gambia - The Point | Kenya Approves J&J, Pfizer Covid-19 Vaccines as Cases Surge - Bloomberg"
632,2021-08-03,"This nurse leader in Liberia is making sure mothers and babies get the healthcare they need - Johnson & Johnson | Pulmonologist On Making Lung Cancer A Disease Of The Past - Health Professional Radio | J&J, Google back inflammatory disease startup Mestag with $45M seed - Fierce Biotech | CVS stops giving J&J Covid vaccines in pharmacies, still offers shots at some MinuteClinics - CNBC | Saudi Arabia updates COVID-19 entry requirements - ASIA-Plus"
633,2021-08-04,"Urgent recall of popular Johnson & Johnson Neutrogena Ultra Sheer Sunscreen Spray over cancer scare - Daily Mail | This nurse leader in Liberia is making sure mothers and babies get the healthcare they need - Johnson & Johnson | Pulmonologist On Making Lung Cancer A Disease Of The Past - Health Professional Radio | CVS stops giving J&J Covid vaccines in pharmacies, still offers shots at some MinuteClinics - CNBC | Malawi to receive Johnson & Johnson vaccine on Saturday Malawi 24 | Latest News from Malawi - Malawi24"
634,2021-08-05,Rollout of 400m Johnson & Johnson doses in Africa kicks off - Mmegi Online | Malawi to receive Johnson & Johnson vaccine on Saturday Malawi 24 | Latest News from Malawi - Malawi24 | | Ferguson statement on court order against Johnson & Johnson - Washington State Wire | Urgent recall of popular Johnson & Johnson Neutrogena Ultra Sheer Sunscreen Spray over cancer scare - Daily Mail | CVS stops offering Johnson & Johnson shots at its pharmacies - WWLP.com
635,2021-08-06,"India approves Johnson & Johnson Covid vaccine for emergency use - The Guardian | Jim Gabriele named president and CEO of M2GEN - The Cancer Letter | African Vaccine Acquisition Trust (AVAT) announces 108,000 doses of vaccines arriving in Mauritius as part of the first monthly shipment of Johnson & Johnson vaccines - africacdc.org | CVS stops offering Johnson & Johnson shots at its pharmacies - WWLP.com | Johnson and Johnson’s single-dose COVID-19 vaccine approved for emergency use in India - The Hindu"
636,2021-08-07,"India approves Johnson & Johnson Covid vaccine for emergency use - The Guardian | Malawi Receives First Doses of Johnson & Johnson Vaccine - VOA Asia | African Vaccine Acquisition Trust (AVAT) announces 108,000 doses of vaccines arriving in Mauritius as part of the first monthly shipment of Johnson & Johnson vaccines - africacdc.org | Johnson and Johnson’s single-dose COVID-19 vaccine approved for emergency use in India - The Hindu | PNG Receives More COVID-19 Vaccines Johnson & Johnson From The United States - Papua New Guinea Today"
637,2021-08-08,"Scott O’Brien’s life was filled with family, friends and love - The Anna Maria Island Sun Newspaper | Covid-19 Cases Are Still Rising, but the Vaccine News Is Promising - Barron's | Malawi Receives First Doses of Johnson & Johnson Vaccine - VOA Asia | PNG Receives More COVID-19 Vaccines Johnson & Johnson From The United States - Papua New Guinea Today | ECA, Afreximbank, Africa CDC procure 158,400 Johnson & Johnson vaccines for Cameroon, millions more to come - United Nations Economic Commission for Africa"
638,2021-08-09,"Minimally invasive quantification of cerebral P2X7R occupancy using dynamic [ - Nature.com | ECA, Afreximbank, Africa CDC procure 158,400 Johnson & Johnson vaccines for Cameroon, millions more to come - United Nations Economic Commission for Africa | Instagram Testing Photo Ads Within Its ‘Shop’ Tab - Tubefilter | What To Do If You Used Johnson & Johnson Recalled Sunscreen Products? - The Legal Examiner | Covid-19 Cases Are Still Rising, but the Vaccine News Is Promising - Barron's"
639,2021-08-10,"Instagram Testing Photo Ads Within Its ‘Shop’ Tab - Tubefilter | What To Do If You Used Johnson & Johnson Recalled Sunscreen Products? - The Legal Examiner | Togo, the first country in Africa to receive made-in-Africa Johnson & Johnson vaccine - Togo First | Why the Recent Sunscreen Recalls Are So Alarming, According to Skincare Experts - Good Housekeeping | J&J matches Stelara's 'Bold' message to the Olympic spirit in TV media buy during Tokyo games - FiercePharma"
640,2021-08-11,"Researchers ask FDA to pull more sunscreens over possible carcinogen - New York Post | BD finds new global finance chief in 20-year Johnson & Johnson vet - Fierce Biotech | Why the Recent Sunscreen Recalls Are So Alarming, According to Skincare Experts - Good Housekeeping | Ethicon's Echelon Circular Powered Stapler Associated With Major Reduction In Serious Complications Following Colorectal Surgery - PR Newswire | J&J, Amgen and Roche face growing biosimilar competition that is driving down prices: report - FiercePharma"
641,2021-08-12,"J&J, Amgen and Roche face growing biosimilar competition that is driving down prices: report - FiercePharma"
642,2021-08-13,
643,2021-08-14,Johnson & Johnson vaccines on way to T&T - Trinidad Guardian
644,2021-08-15,"UPDATED: Pfizer, Eli Lilly and J&J roll out COVID-19 vaccination rules as delta makes case for mandates - FiercePharma | As Delta spreads, some travelers double up on COVID-19 vaccine in U.S. - Reuters | The world is making billions of Covid vaccine doses, so why is Africa not getting them? - The Guardian"
645,2021-08-16,"As Delta spreads, some travelers double up on COVID-19 vaccine in U.S. - Reuters | South African activists slam J&J for exporting vaccines - Loop News Cayman | Listerine Naturals Mouthwash Made with ‘Non-Natural, Synthetic Process,’ Says Class Action Lawsuit - Top Class Actions | Johnson & Johnson Vision to pioneer integrated eye health ecosystem in Singapore - Singapore Economic Development Board | The world is making billions of Covid vaccine doses, so why is Africa not getting them? - The Guardian"
646,2021-08-17,"Johnson & Johnson Vision unveils 3-year plan to develop eye health ecosystem in Singapore - Mobihealth News | Optellum Announces Strategic Collaboration With The Lung Cancer Initiative At Johnson & Johnson, Applying AI To Transform Early Lung Cancer Treatment - PR Newswire | DePuy Synthes Introduces the INHANCE™ Shoulder System, a First-to-Market, Fully Integrated Shoulder Arthroplasty System - OrthoSpineNews | Johnson & Johnson Vision to pioneer integrated eye health ecosystem in Singapore - Singapore Economic Development Board | Listerine Naturals Mouthwash Made with ‘Non-Natural, Synthetic Process,’ Says Class Action Lawsuit - Top Class Actions"
647,2021-08-18,"J&J names Joaquin Duato as CEO effective Jan 3, replacing Alex Gorsky - CNBC | DePuy Synthes launches Inhance shoulder system - Mass Device | Optellum Announces Strategic Collaboration With The Lung Cancer Initiative At Johnson & Johnson, Applying AI To Transform Early Lung Cancer Treatment - PR Newswire | Will Johnson & Johnson COVID-19 vaccine recipients need booster too? - Fox News | J&J’s New Insider CEO Brings Expertise From Crucial Pharma Post - Bloomberg"
648,2021-08-19,"Johnson & Johnson names Joaquin Duato as its next CEO - ABC17News.com | J&J CEO Gorsky to step down, company veteran to lead in 2022 - The Associated Press | Alex Gorsky to Serve as Executive Chairman and Transition Role of Chief Executive Officer of Johnson & Johnson to Joaquin Duato, Effective January 3, 2022 - PR Newswire | Johnson & Johnson CEO Alex Gorsky to step down, company veteran Joaquin Duato to take over in 2022 - The Globe and Mail | J&J's CEO Plans to Step Down. Analysts Expect a Smooth Transition. - Barron's"
649,2021-08-20,"Joaquin Duato to take over as J&J chief executive - Jersey Evening Post | J&J's CEO Plans to Step Down. Analysts Expect a Smooth Transition. - Barron's | J&J CEO Gorsky to step aside, handing reins of world's largest pharma to COVID-19 navigator Duato - FiercePharma | Johnson & Johnson taps Duato as new CEO, replacing Gorsky - Fortune | J&J Names New CEO - Morningstar"
650,2021-08-21,"Deyalsingh: Johnson & Johnson vaccines for coastal, remote areas - Loop News Trinidad & Tobago | 108,000 one-shot Johnson & Johnson vaccines arrive - Trinidad Guardian | Johnson and Johnson COVID vaccines delayed - Trinidad Guardian | Trinidad and Tobago received 108,700 doses of single dose Johnson & Johnson vaccine - WIC News"
651,2021-08-22,"Joaquin Duato to Take Over as Chief Executive Officer of Johnson & Johnson - njbmagazine.com | UPDATE: Theravance drops one of 2 in J&J collab after JAK inhibitor's midstage ulcerative colitis failure - Fierce Biotech | What biotech, pharma firms pay their workers in 2021: Moderna, Pfizer, Novartis - Business Insider | Big business pledged nearly $50 billion for racial justice after George Floyd’s death. Where did the money go? - The Washington Post | 34,000 single-dose Johnson & Johnson vaccines expected today - News Room Guyana"
652,2021-08-23,"J&J CEO Alex Gorsky To Step Aside - Contract Pharma | Tobago East MP: One-shot Johnson & Johnson vaccine safe too - TT Newsday | 34,000 single-dose Johnson & Johnson vaccines expected today - News Room Guyana | Watch: J&J vaccine to be given to Guyanese in rural communities - Loop News Caribbean | Another 5,000 Sputnik V vaccines here; single-dose Johnson & Johnson vaccines arrive - News Room Guyana"
653,2021-08-24,“I’ve learned I don’t have to apologize for my psoriasis” - Johnson & Johnson | Watch: J&J vaccine to be given to Guyanese in rural communities - Loop News Caribbean | Singapore Association of Pharmaceutical Industries (SAPI) elect new President and Vice President - BSA bureau | J&J's new CEO Joaquin Duato: What to know - Fox Business | Moderna probes reports of COVID-19 vaccine contamination in Japan - FiercePharma
654,2021-08-25,"“I’ve learned I don’t have to apologize for my psoriasis” - Johnson & Johnson | Singapore Association of Pharmaceutical Industries (SAPI) elect new President and Vice President - BSA bureau | DKSH to distribute CanSino vaccine in Malaysia - The Malaysian Reserve | J&J, finally! - Jamaica Gleaner | Belize to receive over 100,000 Johnson & Johnson vaccine doses - Loop News Caribbean"
655,2021-08-26,"J&J Talc Spinoff Strategy Survives Legal Proceeding - BioSpace | NICE rebuffs J&J's Darzalex price for newly diagnosed myeloma but leaves negotiation door open - FiercePharma | Belize to receive over 100,000 Johnson & Johnson vaccine doses - Loop News Caribbean | J&J, finally! - Jamaica Gleaner | Johnson & Johnson is recognized with the Best Places to Work Certification in Romania for 2021 - Business Review"
656,2021-08-27,"NICE rebuffs J&J's Darzalex price for newly diagnosed myeloma but leaves negotiation door open - FiercePharma | Do I need a booster shot if I got the Johnson & Johnson vaccine? A virologist answers 5 questions - The Conversation | J&J Talc Spinoff Strategy Survives Legal Proceeding - BioSpace | J&J Vaccine and Blood Clots: The Risks, if Any, Are Very Low (Published 2021) - The New York Times | Health Ministry receives Johnson & Johnson vaccines as variant activity increases - Antigua Observer"
657,2021-08-28,"Hikma gains US rights to BAT2206, a proposed biosimilar to Stelara - The Pharma Letter | Health Ministry receives Johnson & Johnson vaccines as variant activity increases - Antigua Observer"
658,2021-08-29,COVID vaccine manufacturer taking 'go forward' approach to shots - Fox Business
659,2021-08-30,"Joaquin Duato To Succeed Alex Gorsky As CEO Of Johnson & Johnson - Beauty Packaging | OGX Shampoo, TRESemmé, WEN: Johnson & Johnson not the only brand to be accused of putting dangerous chemicals in shampoo - Top Class Actions | COVID vaccine manufacturer taking 'go forward' approach to shots - Fox Business"
660,2021-08-31,"How the telehealth trend is revolutionizing medical care as we know it - Johnson & Johnson | Johnson & Johnson scores an FDA first with nod for twice-yearly schizophrenia drug Invega Hafyera - FiercePharma | Joaquin Duato To Succeed Alex Gorsky As CEO Of Johnson & Johnson - Beauty Packaging | Johnson & Johnson pulls HIV vaccine trial in Africa; but pledges to continue with Phase 3 Mosaico study - BioPharma-Reporter.com | OGX Shampoo, TRESemmé, WEN: Johnson & Johnson not the only brand to be accused of putting dangerous chemicals in shampoo - Top Class Actions"
661,2021-09-01,"Johnson & Johnson scores an FDA first with nod for twice-yearly schizophrenia drug Invega Hafyera - FiercePharma | Sierra Leone receives 52,800 doses of Johnson & Johnson Covid-19 Vaccine - Swit Salone | 200 Johnson & Johnson vaccines distributed to prisons - Loop News Trinidad & Tobago | Johnson & Johnson pulls HIV vaccine trial in Africa; but pledges to continue with Phase 3 Mosaico study - BioPharma-Reporter.com | Johnson & Johnson COVID-19 vaccines shipped from South Africa to Europe to be returned - FiercePharma"
662,2021-09-02,"200 Johnson & Johnson vaccines distributed to prisons - Loop News Trinidad & Tobago | Sierra Leone receives 52,800 doses of Johnson & Johnson Covid-19 Vaccine - Swit Salone | Down to a Science: How Johnson & Johnson Boosts Its Business With MLOps - NVIDIA Blog | Birthright trips to resume, no need for quarantine for those jabbed - The Jerusalem Post | Pfizer, Johnson & Johnson and Sinopharm vaccines at SATT's Mass Vaccination Site - Trinidad Guardian"
663,2021-09-03,"Birthright trips to resume, no need for quarantine for those jabbed - The Jerusalem Post"
664,2021-09-04,"Shop and vaccinate with J&J doses at Long Circular, Westmall, Starlite - TT Newsday"
665,2021-09-05,"Vaccine advocate: Veronica Smith-Creer - El Dorado News-Times | 129,600 doses of Johnson & Johnson COVID-19 vaccines delivered to Zambia - United Nations Economic Commission for Africa | Imbruvica: new safety signal for use with rituximab and ACE inhibitors - The Pharma Letter | One shot-Johnson & Johnson COVID-19 vaccine now available - Breaking Belize News | Shop and vaccinate with J&J doses at Long Circular, Westmall, Starlite - TT Newsday"
666,2021-09-06,"Organ-on-a-chip maker Emulate secures $82M to expand scientific, commercial efforts - Fierce Biotech | One shot-Johnson & Johnson COVID-19 vaccine now available - Breaking Belize News | 129,600 doses of Johnson & Johnson COVID-19 vaccines delivered to Zambia - United Nations Economic Commission for Africa | Vaccine advocate: Veronica Smith-Creer - El Dorado News-Times | Emulate Inc. closes $82M Series E to fund expansion of ‘organ-on-a-chip’ products - TechCrunch"
667,2021-09-07,"GSK, Pfizer and Johnson & Johnson race toward $10B-plus RSV vaccine market: analyst - FiercePharma | Organ-on-a-chip maker Emulate secures $82M to expand scientific, commercial efforts - Fierce Biotech | Another discount does the trick: Johnson & Johnson wins NICE backing for prostate cancer drug Erleada - FiercePharma | DePuy Synthes Product, Inc. Leases Palm Beach Gardens Office Space Expanding South Florida Footprint - PROFILE Miami | Emulate Inc. closes $82M Series E to fund expansion of ‘organ-on-a-chip’ products - TechCrunch"
668,2021-09-08,"FDA Approves Johnson & Johnson’s Schizophrenia Injectable - TechTarget | GSK, Pfizer and Johnson & Johnson race toward $10B-plus RSV vaccine market: analyst - FiercePharma | Best Places to Work Asia 2021: Diversity, Equity & Inclusion - PR Week | Another discount does the trick: Johnson & Johnson wins NICE backing for prostate cancer drug Erleada - FiercePharma | DePuy Synthes Product, Inc. Leases Palm Beach Gardens Office Space Expanding South Florida Footprint - PROFILE Miami"
669,2021-09-09,"Vaccines effective against Delta variant - Regenstrief Institute | FDA Approves Johnson & Johnson’s Schizophrenia Injectable - TechTarget | Best Places to Work Asia 2021: Diversity, Equity & Inclusion - PR Week | J&J jab comes to City Gate - Trinidad & Tobago Express Newspapers"
670,2021-09-10,Vaccines effective against Delta variant - Regenstrief Institute | J&J jab comes to City Gate - Trinidad & Tobago Express Newspapers
671,2021-09-11,"COVID-19 Vaccines Effective Against Delta Variant – How Pfizer, Moderna and J&J Compare - SciTechDaily | Vaccine recipients happy with ‘one shot and done’ - Trinidad Guardian"
672,2021-09-12,"Johnson & Johnson Digs Deeper Into Data to Unlock Product Innovation - Consumer Goods Technology | On heels of one expansion, J&J will pour $176M into another boost for its manufacturing site in Ireland - FiercePharma | COVID-19 Vaccines Effective Against Delta Variant – How Pfizer, Moderna and J&J Compare - SciTechDaily | What Women Need to Know About the Covid Vaccine (Published 2021) - The New York Times | J&J Recalls Neutrogena, Aveeno Sunscreens over Potential Cancer Concerns - DrugWatch.com"
673,2021-09-13,"Vaccines and blood clots? COVID clots are a greater concern - Novant Health | J&J Recalls Neutrogena, Aveeno Sunscreens over Potential Cancer Concerns - DrugWatch.com | Johnson & Johnson Digs Deeper Into Data to Unlock Product Innovation - Consumer Goods Technology | On heels of one expansion, J&J will pour $176M into another boost for its manufacturing site in Ireland - FiercePharma | What Women Need to Know About the Covid Vaccine (Published 2021) - The New York Times"
674,2021-09-14,"Vaccines and blood clots? COVID clots are a greater concern - Novant Health | Cingulate, gunning for pharma majors, seeks $58M to develop extended-release ADHD drugs - FiercePharma | US donates 152,950 doses of Johnson & Johnson Covid-19 vaccine to South Sudan - Radio Tamazuj"
675,2021-09-15,Iran approves U.S. firm J&J's shot as it fights fifth COVID wave - Reuters.com
676,2021-09-16,Iran approves U.S. firm J&J's shot as it fights fifth COVID wave - Reuters.com | Johnson & Johnson gears up for showdown over reorg votes with ex-talc supplier - Reuters.com
677,2021-09-17,Johnson & Johnson gears up for showdown over reorg votes with ex-talc supplier - Reuters.com
678,2021-09-18,
679,2021-09-19,"Johnson & Johnson, Mauna Kea launch study of lung cancer biopsy guidance tool - Fierce Biotech | Will 600 million India-made doses of J&J vaccine be exported to rich Western countries? - The Caravan"
680,2021-09-20,"J&J’s Ebola Vaccine Generates Robust Antibody Responses - TechTarget | Second dose of Johnson & Johnson vaccine increases protection against covid-19, maker says - The Washington Post | Will 600 million India-made doses of J&J vaccine be exported to rich Western countries? - The Caravan | Johnson & Johnson trots out two-dose COVID vaccine data as it builds case for boosters - FiercePharma | Johnson & Johnson, Mauna Kea launch study of lung cancer biopsy guidance tool - Fierce Biotech"
681,2021-09-21,J&J’s Ebola Vaccine Generates Robust Antibody Responses - TechTarget | J&J Says Second Shot of COVID Vaccine Adds Protection - Voice of America English News | Pfizer Versus Moderna Versus Johnson & Johnson - 3BL Media | Johnson & Johnson trots out two-dose COVID vaccine data as it builds case for boosters - FiercePharma | J&J says second shot boosts protection for moderate-severe COVID-19 to 94% - Reuters
682,2021-09-22,"Pfizer Versus Moderna Versus Johnson & Johnson - 3BL Media | HealthVerity partners with J&J's Janssen to provide real-world data for clinical trial, R&D work - Fierce Biotech | New report shows leading Covid-19 vaccine pharma companies fuelling unprecedented human rights crisis - Amnesty International"
683,2021-09-23,What to know about booster shots if you received Johnson & Johnson’s COVID-19 vaccine - PBS NewsHour | Johnson & Johnson: This Mega-Ship Is Slowing Down (NYSE:JNJ) - Seeking Alpha
684,2021-09-24,New Johnson & Johnson data shows second shot boosts antibodies and protection against COVID-19 – but one dose is still strong against delta variant - The Conversation | Johnson & Johnson: This Mega-Ship Is Slowing Down (NYSE:JNJ) - Seeking Alpha
685,2021-09-25,New Johnson & Johnson data shows second shot boosts antibodies and protection against COVID-19 – but one dose is still strong against delta variant - The Conversation | Are there medical exemptions from getting a COVID vaccine? Here’s what to know - NJ.com
686,2021-09-26,Activists Shame Johnson & Johnson over Pharma Greed - AIDS Healthcare Foundation | Johnson & Johnson Scores Cosmetic Talc Trial Victory in Missouri - CVN News | The ‘Dividend Aristocrats’ With the Safest Payouts - Barron's | Are there medical exemptions from getting a COVID vaccine? Here’s what to know - NJ.com
687,2021-09-27,Activists Shame Johnson & Johnson over Pharma Greed - AIDS Healthcare Foundation | Johnson & Johnson Scores Cosmetic Talc Trial Victory in Missouri - CVN News | Two pioneering RNA scientists win the 2021 Dr. Paul Janssen Award for biomedical research - Johnson & Johnson | Deloitte Digital Dialogue powered by J&J | Life Sciences & Healthcare | Deloitte South Africa - Deloitte | The ‘Dividend Aristocrats’ With the Safest Payouts - Barron's
